,MeanRank,MedianRank,WorstRankCount,TopKCount,TopK%,Top1Count,Top1%,MRR
tfidf_top3,5.926666666666668,6.0,16.0,20.0,13.333333333333334,4.0,2.666666666666667,0.32271428571428573
glot500_base_top3,6.226666666666667,6.0,29.0,14.0,9.333333333333334,3.0,2.0,0.29357142857142854
glot500_lora_top3,2.8466666666666667,2.0,5.0,116.0,77.33333333333333,43.0,28.666666666666668,0.919
