,MeanRank,MedianRank,WorstRankCount,TopKCount,TopK%,Top1Count,Top1%,MRR
tfidf_top3,5.916666666666668,6.0,15.0,20.5,13.666666666666668,3.5,2.3333333333333335,0.31759523809523804
glot500_base_top3,6.253333333333334,6.0,31.0,14.0,9.333333333333334,3.0,2.0,0.2923571428571428
glot500_lora_top3,2.83,2.0,4.0,115.5,77.0,43.5,29.0,0.924
