,MeanRank,MedianRank,WorstRankCount,TopKCount,TopK%,Top1Count,Top1%,MRR
tfidf_top3,5.906666666666667,6.0,14.0,21.0,14.000000000000002,3.0,2.0,0.3124761904761904
glot500_base_top3,6.28,6.0,33.0,14.0,9.333333333333334,3.0,2.0,0.2911428571428571
glot500_lora_top3,2.813333333333334,2.0,3.0,115.0,76.66666666666667,44.0,29.333333333333332,0.929
