province,N,kappa
اصفهان,114,0.7592
بوشهر,108,0.8998
فارس,161,1.0
هرمزگان,138,1.0
چهارمحال و بختیاری,135,1.0
کهگیلویه و بویراحمد,177,0.8952
__OVERALL__,833,0.9494
